Round,変数,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14
R10,製品在庫数,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R11,製品在庫数,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R01,廃棄数,5,0,0,0,0,0,0,0,0,0,0,0,0,0
R02,廃棄数,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R03,廃棄数,0,12,0,24,13,0,11,13,0,14,20,19,49,6
R04,廃棄数,0,44,30,30,68,53,74,0,30,46,57,38,58,41
R05,廃棄数,56,47,61,34,40,55,47,148,135,35,75,31,70,72
R06,廃棄数,19,11,0,0,5,0,0,2,43,3,6,23,0,38
R07,廃棄数,0,4,13,4,0,0,0,3,30,8,9,0,0,0
R08,廃棄数,5,0,0,0,0,0,0,10,25,15,4,0,0,20
R09,廃棄数,10,24,32,30,0,26,16,39,33,51,33,38,23,31
R10,廃棄数,18,10,0,8,39,0,0,11,58,0,4,0,8,0
R11,廃棄数,92,40,42,37,168,123,39,36,82,71,33,35,45,54
R01,累積廃棄数,-5,0,0,0,0,0,0,0,0,0,0,0,0,0
R02,累積廃棄数,-5,0,0,0,0,0,0,0,0,0,0,0,0,0
R03,累積廃棄数,-5,-12,0,-24,-13,0,-11,-13,0,-14,-20,-19,-49,-6
R04,累積廃棄数,-5,-56,-30,-54,-81,-53,-85,-13,-30,-60,-77,-57,-107,-47
R05,累積廃棄数,-61,-103,-91,-88,-121,-108,-132,-161,-165,-95,-152,-88,-177,-119
R06,累積廃棄数,-80,-114,-91,-88,-126,-108,-132,-163,-208,-98,-158,-111,-177,-157
R07,累積廃棄数,-80,-118,-104,-92,-126,-108,-132,-166,-238,-106,-167,-111,-177,-157
R08,累積廃棄数,-85,-118,-104,-92,-126,-108,-132,-176,-263,-121,-171,-111,-177,-177
R09,累積廃棄数,-95,-142,-136,-122,-126,-134,-148,-215,-296,-172,-204,-149,-200,-208
R10,累積廃棄数,-113,-152,-136,-130,-165,-134,-148,-226,-354,-172,-208,-149,-208,-208
R11,累積廃棄数,-205,-192,-178,-167,-333,-257,-187,-262,-436,-243,-241,-184,-253,-262
R01,累積廃棄金額,"-2,500",0,0,0,0,0,0,0,0,0,0,0,0,0
R02,累積廃棄金額,"-2,500",0,0,0,0,0,0,0,0,0,0,0,0,0
R03,累積廃棄金額,"-2,500","-6,000",0,"-12,000","-6,500",0,"-5,500","-6,500",0,"-7,000","-10,000","-9,500","-24,500","-3,000"
R04,累積廃棄金額,"-2,500","-28,000","-15,000","-27,000","-40,500","-26,500","-42,500","-6,500","-15,000","-30,000","-38,500","-28,500","-53,500","-23,500"
R05,累積廃棄金額,"-30,500","-51,500","-45,500","-44,000","-60,500","-54,000","-66,000","-80,500","-82,500","-47,500","-76,000","-44,000","-88,500","-59,500"
R06,累積廃棄金額,"-40,000","-57,000","-45,500","-44,000","-63,000","-54,000","-66,000","-81,500","-104,000","-49,000","-79,000","-55,500","-88,500","-78,500"
R07,累積廃棄金額,"-40,000","-59,000","-52,000","-46,000","-63,000","-54,000","-66,000","-83,000","-119,000","-53,000","-83,500","-55,500","-88,500","-78,500"
R08,累積廃棄金額,"-42,500","-59,000","-52,000","-46,000","-63,000","-54,000","-66,000","-88,000","-131,500","-60,500","-85,500","-55,500","-88,500","-88,500"
R09,累積廃棄金額,"-47,500","-71,000","-68,000","-61,000","-63,000","-67,000","-74,000","-107,500","-148,000","-86,000","-102,000","-74,500","-100,000","-104,000"
R10,累積廃棄金額,"-56,500","-76,000","-68,000","-65,000","-82,500","-67,000","-74,000","-113,000","-177,000","-86,000","-104,000","-74,500","-104,000","-104,000"
R11,累積廃棄金額,"-102,500","-96,000","-89,000","-83,500","-166,500","-128,500","-93,500","-131,000","-218,000","-121,500","-120,500","-92,000","-126,500","-131,000"
R01,売上高,"95,000","90,000","90,000","88,000","90,000","85,000","90,000","83,000","90,000","85,000","92,000","85,000","95,000","87,000"
R02,売上高,"100,000","97,000","90,000","95,000","100,000","100,000","100,000","95,000","100,000","97,000","93,000","90,000","100,000","97,500"
R03,売上高,"76,000","93,100","115,500","91,200","140,250","120,000","89,000","87,000","95,000","104,400","92,000","95,400","122,310","91,650"
R04,売上高,"80,000","65,675","88,800","75,600","95,040","77,600","68,400","75,000","110,500","82,576","77,190","73,950","99,400","125,400"
R05,売上高,"137,600","57,670","64,970","63,640","99,000","87,000","62,250","44,460","94,050","87,000","58,500","77,350","99,000","59,904"
R06,売上高,"63,180","66,750","90,000","87,000","122,500","87,000","60,000","70,560","100,890","82,550","77,520","82,550","75,600","76,608"
R07,売上高,"74,000","72,480","89,050","91,250","135,000","75,600","42,500","72,750","102,000","79,520","60,350","72,000","61,600","103,400"
R08,売上高,"74,100","76,500","97,500","97,500","154,000","90,000","59,500","72,000","87,500","91,800","74,880","75,000","56,000","87,360"
R09,売上高,"40,000","59,128","76,700","65,250","165,000","76,880","50,740","51,850","125,490","73,466","54,940","61,500","47,310","84,790"
R10,売上高,"49,400","68,850","93,000","78,400","175,180","88,500","60,000","58,650","78,400","98,600","80,040","80,400","78,400","56,000"
R11,売上高,"142,800","45,300","108,360","46,620","126,160","84,960","36,800","37,400","98,100","60,093","48,240","46,800","42,900","46,860"
R01,累積売上高,"95,000","90,000","90,000","88,000","90,000","85,000","90,000","83,000","90,000","85,000","92,000","85,000","95,000","87,000"
R02,累積売上高,"195,000","187,000","180,000","183,000","190,000","185,000","190,000","178,000","190,000","182,000","185,000","175,000","195,000","184,500"
R03,累積売上高,"271,000","280,100","295,500","274,200","330,250","305,000","279,000","265,000","285,000","286,400","277,000","270,400","317,310","276,150"
R04,累積売上高,"351,000","345,775","384,300","349,800","425,290","382,600","347,400","340,000","395,500","368,976","354,190","344,350","416,710","401,550"
R05,累積売上高,"488,600","403,445","449,270","413,440","524,290","469,600","409,650","384,460","489,550","455,976","412,690","421,700","515,710","461,454"
R06,累積売上高,"551,780","470,195","539,270","500,440","646,790","556,600","469,650","455,020","590,440","538,526","490,210","504,250","591,310","538,062"
R07,累積売上高,"625,780","542,675","628,320","591,690","781,790","632,200","512,150","527,770","692,440","618,046","550,560","576,250","652,910","641,462"
R08,累積売上高,"699,880","619,175","725,820","689,190","935,790","722,200","571,650","599,770","779,940","709,846","625,440","651,250","708,910","728,822"
R09,累積売上高,"739,880","678,303","802,520","754,440","1,100,790","799,080","622,390","651,620","905,430","783,312","680,380","712,750","756,220","813,612"
R10,累積売上高,"789,280","747,153","895,520","832,840","1,275,970","887,580","682,390","710,270","983,830","881,912","760,420","793,150","834,620","869,612"
R11,累積売上高,"932,080","792,453","1,003,880","879,460","1,402,130","972,540","719,190","747,670","1,081,930","942,005","808,660","839,950","877,520","916,472"
R01,借入金,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R02,借入金,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R03,借入金,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R04,借入金,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R05,借入金,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R06,借入金,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R07,借入金,0,0,0,0,"40,210",0,0,0,0,0,0,0,0,0
R08,借入金,0,0,0,0,"78,011",0,0,0,0,0,0,0,0,0
R09,借入金,0,0,0,0,"110,911",0,0,0,"8,570",0,0,0,0,0
R10,借入金,"78,720",0,0,0,"74,277",0,0,0,"32,029",0,0,0,0,0
R11,借入金,0,0,0,0,"124,010",0,0,0,"173,930",0,0,0,0,0
R01,支払利息,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R02,支払利息,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R03,支払利息,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R04,支払利息,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R05,支払利息,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R06,支払利息,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R07,支払利息,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R08,支払利息,0,0,0,0,"2,011",0,0,0,0,0,0,0,0,0
R09,支払利息,0,0,0,0,"5,911",0,0,0,0,0,0,0,0,0
R10,支払利息,0,0,0,0,"11,457",0,0,0,429,0,0,0,0,0
R11,支払利息,"3,936",0,0,0,"15,170",0,0,0,"2,030",0,0,0,0,0
R01,現金収支,"25,000","20,000","20,000","18,000","20,000","15,000","20,000","13,000","20,000","15,000","22,000","15,000","25,000","17,000"
R02,現金収支,"-50,000","18,000","-5,000","3,000","-60,000","-15,000","-10,000","25,000","-10,000","-16,000","-19,000","7,500","-20,000","-12,500"
R03,現金収支,"-80,000","13,600",500,-800,"20,250","25,000","14,000","17,000","-65,000","17,400","-23,000","12,900","2,310","-13,350"
R04,現金収支,"-60,000","-16,325","-6,200","-16,400","-26,960","-22,400","-44,600","-85,000","-59,500","-15,424","2,190","-21,050","-45,600","30,400"
R05,現金収支,"67,600","-18,330","-50,030","-91,360","-26,000","-28,000","-17,750","-25,540","-67,950","-18,000","-21,500","-17,650","-33,000","-55,096"
R06,現金収支,"13,180","4,750","-25,000","28,000","-47,500","-5,000","-5,000",560,"20,890","10,550","1,520","12,550","7,600","-37,392"
R07,現金収支,"-16,000","2,480","14,050","-3,750","-79,790","-7,400","-4,500","2,750","27,000","4,520","-1,650","-38,000","34,600","8,400"
R08,現金収支,"-10,900","6,500","-17,500","5,500",0,"-5,000","32,000","42,000","-42,500","-24,200","4,880","-5,000","-32,000","2,360"
R09,現金収支,"-67,000","-8,872","-18,300","5,250",0,"-38,120","2,740","-16,150","-22,940","-27,534","-17,060","-10,500","-24,690","9,790"
R10,現金収支,"-21,880","-1,150","-17,000",400,0,"-41,500","11,500","-9,350",0,"-6,400","42,040","-9,600","8,400","-36,000"
R11,現金収支,"68,864","-22,700","13,360","16,620",0,"2,960","-26,200","-24,600",0,"-62,907","-19,760","16,800","-27,100","3,860"
R01,累積現金収支,"25,000","20,000","20,000","18,000","20,000","15,000","20,000","13,000","20,000","15,000","22,000","15,000","25,000","17,000"
R02,累積現金収支,"-25,000","38,000","15,000","21,000","-40,000",0,"10,000","38,000","10,000","-1,000","3,000","22,500","5,000","4,500"
R03,累積現金収支,"-105,000","51,600","15,500","20,200","-19,750","25,000","24,000","55,000","-55,000","16,400","-20,000","35,400","7,310","-8,850"
R04,累積現金収支,"-165,000","35,275","9,300","3,800","-46,710","2,600","-20,600","-30,000","-114,500",976,"-17,810","14,350","-38,290","21,550"
R05,累積現金収支,"-97,400","16,945","-40,730","-87,560","-72,710","-25,400","-38,350","-55,540","-182,450","-17,024","-39,310","-3,300","-71,290","-33,546"
R06,累積現金収支,"-84,220","21,695","-65,730","-59,560","-120,210","-30,400","-43,350","-54,980","-161,560","-6,474","-37,790","9,250","-63,690","-70,938"
R07,累積現金収支,"-100,220","24,175","-51,680","-63,310","-200,000","-37,800","-47,850","-52,230","-134,560","-1,954","-39,440","-28,750","-29,090","-62,538"
R08,累積現金収支,"-111,120","30,675","-69,180","-57,810","-200,000","-42,800","-15,850","-10,230","-177,060","-26,154","-34,560","-33,750","-61,090","-60,178"
R09,累積現金収支,"-178,120","21,803","-87,480","-52,560","-200,000","-80,920","-13,110","-26,380","-200,000","-53,688","-51,620","-44,250","-85,780","-50,388"
R10,累積現金収支,"-200,000","20,653","-104,480","-52,160","-200,000","-122,420","-1,610","-35,730","-200,000","-60,088","-9,580","-53,850","-77,380","-86,388"
R11,累積現金収支,"-131,136","-2,047","-91,120","-35,540","-200,000","-119,460","-27,810","-60,330","-200,000","-122,995","-29,340","-37,050","-104,480","-82,528"
R01,現金貯金,"225,000","220,000","220,000","218,000","220,000","215,000","220,000","213,000","220,000","215,000","222,000","215,000","225,000","217,000"
R02,現金貯金,"175,000","238,000","215,000","221,000","160,000","200,000","210,000","238,000","210,000","199,000","203,000","222,500","205,000","204,500"
R03,現金貯金,"95,000","251,600","215,500","220,200","180,250","225,000","224,000","255,000","145,000","216,400","180,000","235,400","207,310","191,150"
R04,現金貯金,"35,000","235,275","209,300","203,800","153,290","202,600","179,400","170,000","85,500","200,976","182,190","214,350","161,710","221,550"
R05,現金貯金,"102,600","216,945","159,270","112,440","127,290","174,600","161,650","144,460","17,550","182,976","160,690","196,700","128,710","166,454"
R06,現金貯金,"115,780","221,695","134,270","140,440","79,790","169,600","156,650","145,020","38,440","193,526","162,210","209,250","136,310","129,062"
R07,現金貯金,"99,780","224,175","148,320","136,690",0,"162,200","152,150","147,770","65,440","198,046","160,560","171,250","170,910","137,462"
R08,現金貯金,"88,880","230,675","130,820","142,190",0,"157,200","184,150","189,770","22,940","173,846","165,440","166,250","138,910","139,822"
R09,現金貯金,"21,880","221,803","112,520","147,440",0,"119,080","186,890","173,620",0,"146,312","148,380","155,750","114,220","149,612"
R10,現金貯金,0,"220,653","95,520","147,840",0,"77,580","198,390","164,270",0,"139,912","190,420","146,150","122,620","113,612"
R11,現金貯金,"68,864","197,953","108,880","164,460",0,"80,540","172,190","139,670",0,"77,005","170,660","162,950","95,520","117,472"
R01,材料在庫金額,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R02,材料在庫金額,"80,000","4,000",0,"12,000","40,000","20,000","40,000",0,"40,000","28,000","32,000",0,0,"40,000"
R03,材料在庫金額,"136,000","6,000","20,000","24,000","40,000","20,000","20,000",0,"80,000","20,000","52,000",0,0,0
R04,材料在庫金額,"56,000","8,000","20,000","36,000","32,000",0,"48,000","40,000","80,000","8,000","32,000",0,0,0
R05,材料在庫金額,"56,000","14,000","40,000","96,000","12,000","20,000","68,000","40,000","112,000","28,000","32,000",0,"52,000","20,000"
R06,材料在庫金額,"36,000","6,000","60,000","60,000","12,000","32,000","88,000","40,000","72,000","20,000","48,000",0,"60,000","20,000"
R07,材料在庫金額,"56,000","6,000","40,000","60,000","72,000","20,000","80,000","40,000","52,000",0,"40,000","40,000","32,000","20,000"
R08,材料在庫金額,"96,000","6,000","60,000","72,000","32,000","20,000","50,000",0,"12,000","16,000","40,000","40,000","60,000",0
R09,材料在庫金額,"148,000","4,000","60,000","52,000","32,000","40,000","38,000","8,000","64,000","12,000","32,000","32,000","52,000","20,000"
R10,材料在庫金額,"28,000","4,000",0,"60,000",0,0,"24,000","16,000","4,000","12,000",0,"52,000","52,000","32,000"
R11,材料在庫金額,"28,000","2,000",0,"20,000","140,000","12,000","22,000","8,000","4,000",0,"8,000","12,000","52,000",0
R01,生産仕掛在庫金額,"50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000"
R02,生産仕掛在庫金額,"50,000","55,000","75,000","60,000","100,000","75,000","50,000","50,000","50,000","65,000","60,000","62,500","100,000","50,000"
R03,生産仕掛在庫金額,"80,000","57,500","75,000","60,000","100,000","75,000","75,000","50,000","100,000","75,000","75,000","62,500","100,000","125,000"
R04,生産仕掛在庫金額,"200,000","60,000","75,000","60,000","110,000","100,000","65,000","100,000","150,000","90,000","75,000","75,000","125,000","75,000"
R05,生産仕掛在庫金額,"50,000","50,000","75,000","75,000","125,000","75,000","40,000","50,000","110,000","65,000","60,000","75,000","60,000","75,000"
R06,生産仕掛在庫金額,"50,000","50,000","75,000","75,000","150,000","60,000","25,000","50,000","100,000","60,000","40,000","50,000","40,000","94,000"
R07,生産仕掛在庫金額,"50,000","50,000","75,000","75,000","175,000","75,000","35,000","50,000","75,000","75,000","50,000","50,000","35,000","75,000"
R08,生産仕掛在庫金額,"25,000","50,000","75,000","60,000","250,000","75,000","37,500","50,000","150,000","80,000","50,000","60,000","40,000","85,000"
R09,生産仕掛在庫金額,"35,000","50,000","75,000","60,000","250,000","75,000","40,000","40,000","85,000","85,000","60,000","60,000","60,000","35,000"
R10,生産仕掛在庫金額,"250,000","50,000","150,000","50,000","250,000","150,000","42,500","40,000","150,000","85,000","50,000","50,000","50,000","60,000"
R11,生産仕掛在庫金額,"50,000","50,000","75,000","50,000","75,000","50,000","45,000","50,000","250,000","115,000","40,000","50,000","50,000","55,000"
R01,棚卸資産,"50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000"
R02,棚卸資産,"130,000","59,000","75,000","72,000","140,000","95,000","90,000","50,000","90,000","93,000","92,000","62,500","100,000","90,000"
R03,棚卸資産,"216,000","63,500","95,000","84,000","140,000","95,000","95,000","50,000","180,000","95,000","127,000","62,500","100,000","125,000"
R04,棚卸資産,"256,000","68,000","95,000","96,000","142,000","100,000","113,000","140,000","230,000","98,000","107,000","75,000","125,000","75,000"
R05,棚卸資産,"106,000","64,000","115,000","171,000","137,000","95,000","108,000","90,000","222,000","93,000","92,000","75,000","112,000","95,000"
R06,棚卸資産,"86,000","56,000","135,000","135,000","162,000","92,000","113,000","90,000","172,000","80,000","88,000","50,000","100,000","114,000"
R07,棚卸資産,"106,000","56,000","115,000","135,000","247,000","95,000","115,000","90,000","127,000","75,000","90,000","90,000","67,000","95,000"
R08,棚卸資産,"121,000","56,000","135,000","132,000","282,000","95,000","87,500","50,000","162,000","96,000","90,000","100,000","100,000","85,000"
R09,棚卸資産,"183,000","54,000","135,000","112,000","282,000","115,000","78,000","48,000","149,000","97,000","92,000","92,000","112,000","55,000"
R10,棚卸資産,"278,000","54,000","150,000","110,000","250,000","150,000","66,500","56,000","154,000","97,000","50,000","102,000","102,000","92,000"
R11,棚卸資産,"78,000","52,000","75,000","70,000","215,000","62,000","67,000","58,000","254,000","115,000","48,000","62,000","102,000","55,000"
R01,固定資産,"250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000"
R02,固定資産,"250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000"
R03,固定資産,"250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000"
R04,固定資産,"250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000"
R05,固定資産,"250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000"
R06,固定資産,"250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000"
R07,固定資産,"250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000"
R08,固定資産,"250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000"
R09,固定資産,"250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000"
R10,固定資産,"250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000"
R11,固定資産,"250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000"
R01,資産合計,"525,000","520,000","520,000","518,000","520,000","515,000","520,000","513,000","520,000","515,000","522,000","515,000","525,000","517,000"
R02,資産合計,"555,000","547,000","540,000","543,000","550,000","545,000","550,000","538,000","550,000","542,000","545,000","535,000","555,000","544,500"
R03,資産合計,"561,000","565,100","560,500","554,200","570,250","570,000","569,000","555,000","575,000","561,400","557,000","547,900","557,310","566,150"
R04,資産合計,"541,000","553,275","554,300","549,800","545,290","552,600","542,400","560,000","565,500","548,976","539,190","539,350","536,710","546,550"
R05,資産合計,"458,600","530,945","524,270","533,440","514,290","519,600","519,650","484,460","489,550","525,976","502,690","521,700","490,710","511,454"
R06,資産合計,"451,780","527,695","519,270","525,440","491,790","511,600","519,650","485,020","460,440","523,526","500,210","509,250","486,310","493,062"
R07,資産合計,"455,780","530,175","513,320","521,690","497,000","507,200","517,150","487,770","442,440","523,046","500,560","511,250","487,910","482,462"
R08,資産合計,"459,880","536,675","515,820","524,190","532,000","502,200","521,650","489,770","434,940","519,846","505,440","516,250","488,910","474,822"
R09,資産合計,"454,880","525,803","497,520","509,440","532,000","484,080","514,890","471,620","399,000","493,312","490,380","497,750","476,220","454,612"
R10,資産合計,"528,000","524,653","495,520","507,840","500,000","477,580","514,890","470,270","404,000","486,912","490,420","498,150","474,620","455,612"
R11,資産合計,"396,864","499,953","433,880","484,460","465,000","392,540","489,190","447,670","504,000","442,005","468,660","474,950","447,520","422,472"
R01,売上原価,"50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000"
R02,売上原価,"50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000"
R03,売上原価,"50,000","55,000","75,000","60,000","100,000","75,000","50,000","50,000","50,000","65,000","60,000","62,500","100,000","50,000"
R04,売上原価,"80,000","57,500","75,000","60,000","100,000","75,000","75,000","50,000","100,000","75,000","75,000","62,500","100,000","125,000"
R05,売上原価,"200,000","60,000","75,000","60,000","110,000","100,000","65,000","100,000","150,000","90,000","75,000","75,000","125,000","75,000"
R06,売上原価,"50,000","50,000","75,000","75,000","125,000","75,000","40,000","50,000","110,000","65,000","60,000","75,000","60,000","75,000"
R07,売上原価,"50,000","50,000","75,000","75,000","150,000","60,000","25,000","50,000","100,000","60,000","40,000","50,000","40,000","94,000"
R08,売上原価,"50,000","50,000","75,000","75,000","175,000","75,000","35,000","50,000","75,000","75,000","50,000","50,000","35,000","75,000"
R09,売上原価,"25,000","50,000","75,000","60,000","250,000","75,000","37,500","50,000","150,000","80,000","50,000","60,000","40,000","85,000"
R10,売上原価,"35,000","50,000","75,000","60,000","250,000","75,000","40,000","40,000","85,000","85,000","60,000","60,000","60,000","35,000"
R11,売上原価,"250,000","50,000","150,000","50,000","250,000","150,000","42,500","40,000","150,000","85,000","50,000","50,000","50,000","60,000"
R01,売上総利益,"45,000","40,000","40,000","38,000","40,000","35,000","40,000","33,000","40,000","35,000","42,000","35,000","45,000","37,000"
R02,売上総利益,"50,000","47,000","40,000","45,000","50,000","50,000","50,000","45,000","50,000","47,000","43,000","40,000","50,000","47,500"
R03,売上総利益,"26,000","38,100","40,500","31,200","40,250","45,000","39,000","37,000","45,000","39,400","32,000","32,900","22,310","41,650"
R04,売上総利益,0,"8,175","13,800","15,600","-4,960","2,600","-6,600","25,000","10,500","7,576","2,190","11,450",-600,400
R05,売上総利益,"-62,400","-2,330","-10,030","3,640","-11,000","-13,000","-2,750","-55,540","-55,950","-3,000","-16,500","2,350","-26,000","-15,096"
R06,売上総利益,"13,180","16,750","15,000","12,000","-2,500","12,000","20,000","20,560","-9,110","17,550","17,520","7,550","15,600","1,608"
R07,売上総利益,"24,000","22,480","14,050","16,250","-15,000","15,600","17,500","22,750","2,000","19,520","20,350","22,000","21,600","9,400"
R08,売上総利益,"24,100","26,500","22,500","22,500","-21,000","15,000","24,500","22,000","12,500","16,800","24,880","25,000","21,000","12,360"
R09,売上総利益,"15,000","9,128","1,700","5,250","-85,000","1,880","13,240","1,850","-24,510","-6,534","4,940","1,500","7,310",-210
R10,売上総利益,"14,400","18,850","18,000","18,400","-74,820","13,500","20,000","18,650","-6,600","13,600","20,040","20,400","18,400","21,000"
R11,売上総利益,"-107,200","-4,700","-41,640","-3,380","-123,840","-65,040","-5,700","-2,600","-51,900","-24,907","-1,760","-3,200","-7,100","-13,140"
R01,営業利益,"25,000","20,000","20,000","18,000","20,000","15,000","20,000","13,000","20,000","15,000","22,000","15,000","25,000","17,000"
R02,営業利益,"30,000","27,000","20,000","25,000","30,000","30,000","30,000","25,000","30,000","27,000","23,000","20,000","30,000","27,500"
R03,営業利益,"6,000","18,100","20,500","11,200","20,250","25,000","19,000","17,000","25,000","19,400","12,000","12,900","2,310","21,650"
R04,営業利益,"-20,000","-11,825","-6,200","-4,400","-24,960","-17,400","-26,600","5,000","-9,500","-12,424","-17,810","-8,550","-20,600","-19,600"
R05,営業利益,"-82,400","-22,330","-30,030","-16,360","-31,000","-33,000","-22,750","-75,540","-75,950","-23,000","-36,500","-17,650","-46,000","-35,096"
R06,営業利益,"-6,820","-3,250","-5,000","-8,000","-22,500","-8,000",0,560,"-29,110","-2,450","-2,480","-12,450","-4,400","-18,392"
R07,営業利益,"4,000","2,480","-5,950","-3,750","-35,000","-4,400","-2,500","2,750","-18,000",-480,350,"2,000","1,600","-10,600"
R08,営業利益,"4,100","6,500","2,500","2,500","-41,000","-5,000","4,500","2,000","-7,500","-3,200","4,880","5,000","1,000","-7,640"
R09,営業利益,"-5,000","-10,872","-18,300","-14,750","-105,000","-18,120","-6,760","-18,150","-44,510","-26,534","-15,060","-18,500","-12,690","-20,210"
R10,営業利益,"-5,600","-1,150","-2,000","-1,600","-94,820","-6,500",0,"-1,350","-26,600","-6,400",40,400,"-1,600","1,000"
R11,営業利益,"-127,200","-24,700","-61,640","-23,380","-143,840","-85,040","-25,700","-22,600","-71,900","-44,907","-21,760","-23,200","-27,100","-33,140"
R01,経常利益,"25,000","20,000","20,000","18,000","20,000","15,000","20,000","13,000","20,000","15,000","22,000","15,000","25,000","17,000"
R02,経常利益,"30,000","27,000","20,000","25,000","30,000","30,000","30,000","25,000","30,000","27,000","23,000","20,000","30,000","27,500"
R03,経常利益,"6,000","18,100","20,500","11,200","20,250","25,000","19,000","17,000","25,000","19,400","12,000","12,900","2,310","21,650"
R04,経常利益,"-20,000","-11,825","-6,200","-4,400","-24,960","-17,400","-26,600","5,000","-9,500","-12,424","-17,810","-8,550","-20,600","-19,600"
R05,経常利益,"-82,400","-22,330","-30,030","-16,360","-31,000","-33,000","-22,750","-75,540","-75,950","-23,000","-36,500","-17,650","-46,000","-35,096"
R06,経常利益,"-6,820","-3,250","-5,000","-8,000","-22,500","-8,000",0,560,"-29,110","-2,450","-2,480","-12,450","-4,400","-18,392"
R07,経常利益,"4,000","2,480","-5,950","-3,750","-35,000","-4,400","-2,500","2,750","-18,000",-480,350,"2,000","1,600","-10,600"
R08,経常利益,"4,100","6,500","2,500","2,500","-43,011","-5,000","4,500","2,000","-7,500","-3,200","4,880","5,000","1,000","-7,640"
R09,経常利益,"-5,000","-10,872","-18,300","-14,750","-110,911","-18,120","-6,760","-18,150","-44,510","-26,534","-15,060","-18,500","-12,690","-20,210"
R10,経常利益,"-5,600","-1,150","-2,000","-1,600","-106,277","-6,500",0,"-1,350","-27,029","-6,400",40,400,"-1,600","1,000"
R11,経常利益,"-131,136","-24,700","-61,640","-23,380","-159,010","-85,040","-25,700","-22,600","-73,930","-44,907","-21,760","-23,200","-27,100","-33,140"
R01,流動負債,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R02,流動負債,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R03,流動負債,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R04,流動負債,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R05,流動負債,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R06,流動負債,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R07,流動負債,0,0,0,0,"40,210",0,0,0,0,0,0,0,0,0
R08,流動負債,0,0,0,0,"118,221",0,0,0,0,0,0,0,0,0
R09,流動負債,0,0,0,0,"229,132",0,0,0,"8,570",0,0,0,0,0
R10,流動負債,"78,720",0,0,0,"303,408",0,0,0,"40,599",0,0,0,0,0
R11,流動負債,"78,720",0,0,0,"427,419",0,0,0,"214,528",0,0,0,0,0
R06,剰余金,"-48,220","27,695","19,270","25,440","-8,210","11,600","19,650","-14,980","-39,560","23,526",210,"9,250","-13,690","-6,938"
R07,累積販売数,980,627,846,768,"1,244",862,578,634,982,804,653,739,873,881
R07,剰余金,"-44,220","30,175","13,320","21,690","-43,210","7,200","17,150","-12,230","-57,560","23,046",560,"11,250","-12,090","-17,538"
